img_path,x,y,face_roi,eyes_roi,opt_path
camera_output/circle1/000049_fc_155_processed.jpg,449.99500745848616,1.059857025804942,"[205, 96, 1018, 1018]","[325, 175, 610, 172]","[array([[516, 180,  -2,   0],
       [614, 178,  -2,   2],
       [916, 184,  -2,   0],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[ 950,  106,    0,  -10],
       [ 994,   96,    0,    0],
       [1000,   96,   -2,    0],
       ...,
       [   0,    0,    0,    0],
       [   0,    0,    0,    0],
       [   0,    0,    0,    0]], dtype=int64)]"
camera_output/circle1/000050_fc_157_processed.jpg,449.730436876721,14.83470618069379,"[195, 93, 1032, 1032]","[314, 178, 631, 196]","[array([[428, 178,  -2,   0],
       [610, 180,   0,   0],
       [470, 182,  -2,   0],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[340,  96,   0,   0],
       [948,  96,   0,   0],
       [998,  96,   0,   0],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64)]"
camera_output/circle1/000051_fc_159_processed.jpg,448.8522369065414,31.767967904603324,"[195, 95, 1035, 1035]","[319, 179, 620, 188]","[array([[468, 182,   0,   0],
       [492, 184,   0,   0],
       [480, 186,  -2,   0],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[ 338,   96,    0,    0],
       [ 946,   96,    0,    0],
       [1072,   96,   -8,    0],
       ...,
       [   0,    0,    0,    0],
       [   0,    0,    0,    0],
       [   0,    0,    0,    0]], dtype=int64)]"
camera_output/circle1/000052_fc_161_processed.jpg,447.3366922775288,48.65612092012027,"[189, 90, 1045, 1045]","[321, 184, 625, 182]","[array([[724, 192,   0,  -2],
       [754, 196,  -2,  -2],
       [858, 202,   0,  -2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[420,  90,  -2,  -2],
       [732,  90,  -2,  -2],
       [944,  94,   0,  -4],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64)]"
camera_output/circle1/000053_fc_163_processed.jpg,445.1859549768966,65.47518501006633,"[187, 86, 1038, 1038]","[325, 185, 619, 177]","[array([[578, 186,   0,  -2],
       [512, 190,   0,  -2],
       [682, 190,   0,  -2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[490,  86,   0,  -2],
       [472,  90,   0,  -4],
       [670,  88,   0,  -2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64)]"
camera_output/circle1/000054_fc_165_processed.jpg,442.4030789293408,82.2012780596097,"[183, 86, 1047, 1047]","[319, 183, 632, 182]","[array([[360, 188,  -2,  -2],
       [500, 192,  -2,  -2],
       [782, 192,  -2,  -2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[356,  86,  -2,  -2],
       [448,  90,  -2,  -4],
       [454,  88,  -2,  -2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64)]"
camera_output/circle1/000055_fc_168_processed.jpg,438.9920156606405,98.81064996751056,"[176, 81, 1053, 1053]","[316, 186, 629, 186]","[array([[492, 188,  -4,   0],
       [776, 188,  -4,   0],
       [852, 190,  -2,   0],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[1004,   84,   -2,   -2],
       [1070,   84,   -2,   -2],
       [ 446,   84,   -4,    0],
       ...,
       [   0,    0,    0,    0],
       [   0,    0,    0,    0],
       [   0,    0,    0,    0]], dtype=int64)]"
camera_output/circle1/000056_fc_171_processed.jpg,434.95760868671545,115.27971636991444,"[178, 81, 1057, 1057]","[311, 186, 631, 191]","[array([[638, 186,   0,   2],
       [740, 186,   0,   2],
       [770, 190,   0,   2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[1066,   82,    2,    0],
       [ 764,   82,    0,    2],
       [1000,   82,    0,    2],
       ...,
       [   0,    0,    0,    0],
       [   0,    0,    0,    0],
       [   0,    0,    0,    0]], dtype=int64)]"
camera_output/circle1/000057_fc_173_processed.jpg,430.3055866361101,131.58509212880836,"[180, 89, 1050, 1050]","[304, 185, 635, 196]","[array([[740, 190,   2,   2],
       [342, 192,   0,   2],
       [770, 194,   2,   2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[464,  90,   2,   2],
       [824,  92,   2,   0],
       [312,  92,   2,   2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64)]"
camera_output/circle1/000058_fc_175_processed.jpg,425.0425551156653,147.70362453758702,"[183, 94, 1052, 1052]","[300, 183, 634, 204]","[array([[806, 184,   2,   2],
       [482, 188,   2,   2],
       [332, 190,   2,   2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64), array([[440,  94,   2,   2],
       [468,  94,   2,   2],
       [854,  94,   2,   2],
       ...,
       [  0,   0,   0,   0],
       [  0,   0,   0,   0],
       [  0,   0,   0,   0]], dtype=int64)]"
